UPI,REPORTS
gursheel@fam,2
loanoffer@okhdfcbnk,302
insurance@ybl,4
gursheel@okhdfcbank,2
ananya@ybl,4
grocery@okaxis,0
paytmcash@upi,2
saumya@okhdfcbank,4
sbihelpdesk@ybl,0
sbihelpdesk@ybl,1
ivy@okicici,5
fastfood@okicici,1
saumya@paytm,2
grocery@okicici,2
fastfood@okicici,4
verify40@okhdfcbnk,118
grocery@fam,2
ivy@okaxis,4
anandi@okicici,0
anandi@fam,0
helpline@okaxis,5
ishaan@upi,2
helpline@okicici,4
ananya@ybl,5
paypal@paytm,3
ivy@fam,2
ivy@okhdfcbank,3
sumit@ybl,4
fastrefund@okrefund,157
saumya@fam,2
insurance@upi,0
sbihelpdesk@okhdfcbank,4
amit@okaxis,2
ananya@upi,2
anandi@upi,3
amit@okaxis,3
saumya@upi,4
loanoffer@okrefund,323
helpline@okicici,2
insurance@okicici,1
sumit@okaxis,5
paypal@fam,1
paytmcash@paytm,0
gursheel@okicici,2
anandi@ybl,1
ishaan@okaxis,4
helpline@paytm,4
aryan@okaxis,3
insurance@okhdfcbank,3
ananya@okhdfcbank,1
saumya@paytm,2
paypal@ybl,4
amit@okicici,5
ishaan@upi,5
sumit@upi,2
reward@okrefund,439
grocery@upi,0
amit@okaxis,3
reward@okaxisback,467
devansh@ybl,3
ivy@okhdfcbank,3
amit@okaxis,2
ananya@okaxis,4
cashback18@googlepay,443
paytmcash@paytm,0
grocery@okicici,5
insurance@upi,4
paypal@ybl,5
paytmcash@upi,3
insurance@paytm,5
helpline@okaxis,5
insurance@okicici,3
grocery@okicici,1
ishaan@okicici,0
grocery@ybl,5
helpline@okaxis,0
sbihelpdesk@paytm,4
aryan@fam,1
fastrefund@oksbibank,232
kaavya@okicici,2
anandi@okhdfcbank,0
ishaan@okicici,4
loanoffer@customercareupi,112
insurance@fam,3
insurance@paytm,0
ishaan@okaxis,4
aryan@fam,0
grocery@upi,1
amit@paytm,5
aryan@fam,4
gursheel@ybl,1
insurance@fam,0
insurance@ybl,0
aryan@paytm,1
aryan@okhdfcbank,2
amit@okicici,4
amit@fam,2
saumya@fam,2
anandi@paytm,1
sumit@okaxis,5
aryan@fam,4
ishaan@okaxis,4
helpdesk@okaxisback,203
paytmcash@fam,3
anandi@ybl,1
grocery@okaxis,1
devansh@fam,3
anandi@paytm,5
helpline@upi,1
